position_group,claim_classification,annual_guaranteed_at_risk_millions
OL,TTD,4.05
OL,PTD,1.375
OL,PTD,2.4
OL,PTD,3.000069
OL,PTD,0.065
OL,PTD,2.299657142857143
OL,PTD,0.375
OL,PTD,0.35000000000000003
OL,PTD,1.28
OL,PTD,6.4
OL,PTD,1.65
OL,TTD,5.5
OL,TTD,5.5
OL,PTD,3.0
OL,PTD,0.3375
OL,TTD,2.343
OL,TTD,2.25
OL,TTD,1.625
OL,PTD,0.065
OL,PTD,0.875
OL,PTD,3.0416666666666665
OL,PTD,0.55
OL,PTD,1.8
OL,TTD,1.75
OL,PTD,5.0
OL,TTD,2.125
OL,TTD,0.0
OL,TTD,0.6
OL,PTD,0.0
OL,TTD,1.6666666666666667
OL,TTD,1.0
OL,PTD,1.2925
OL,PTD,0.0
OL,PTD,3.5
OL,PTD,2.1666666666666665
OL,TTD,2.875
OL,PTD,6.333333333333333
OL,PTD,0.0
OL,TTD,0.0
OL,PTD,0.09
OL,TTD,0.22375
OL,PTD,1.25
OL,PTD,0.3
OL,PTD,0.0
OL,PTD,0.75
OL,TTD,6.0
OL,PTD,6.25
OL,PTD,6.25
OL,PTD,1.6760000000000002
OL,PTD,1.6760000000000002
OL,TTD,3.15
OL,TTD,5.0
OL,TTD,1.6
OL,PTD,6.416666666666667
OL,TTD,2.764751625
OL,TTD,2.2
OL,TTD,1.25
OL,TTD,3.3
OL,PTD,0.1875
OL,PTD,3.6333333333333333
OL,PTD,1.53
OL,PTD,1.53
OL,TTD,0.14081
OL,PTD,1.0333333333333334
OL,PTD,0.0
OL,PTD,0.108023
OL,TTD,2.4699999999999998
OL,PTD,0.0
OL,PTD,0.047
OL,PTD,0.0
OL,PTD,0.0
OL,TTD,0.0
OL,TTD,0.0
OL,TTD,4.6625
OL,TTD,0.4
OL,TTD,0.75
OL,TTD,0.0
OL,PTD,3.05
OL,PTD,0.0
OL,PTD,2.532
OL,PTD,0.7462585
OL,TTD,0.7462585
OL,PTD,0.09
OL,TTD,0.38094
OL,PTD,5.14
OL,PTD,0.1375
OL,PTD,0.075146
OL,PTD,0.325
OL,TTD,0.2
OL,PTD,0.25
OL,TTD,0.60210175
OL,TTD,3.95
OL,PTD,2.0
OL,PTD,0.25
OL,TTD,5.3
OL,PTD,5.3
OL,TTD,0.6317335
OL,PTD,0.0
OL,TTD,0.09
OL,TTD,0.5
OL,PTD,0.0
OL,PTD,1.0
OL,TTD,4.176
OL,TTD,0.136345
OL,TTD,7.5
OL,PTD,7.5
OL,PTD,0.105027
OL,TTD,0.103977
OL,PTD,0.2
