position_group,age_band,exposure,ptd_claims,ttd_claims,ptd_frequency,ttd_frequency
OL,<=24,2058,51,83,0.0248,0.0403
OL,25-27,2113,67,55,0.0317,0.026
OL,28-30,1216,56,42,0.0461,0.0345
OL,31+,626,34,11,0.0543,0.0176
OL,Unknown,400,0,0,0.0,0.0
QB,<=24,481,18,9,0.0374,0.0187
QB,25-27,460,26,6,0.0565,0.013
QB,28-30,311,14,9,0.045,0.0289
QB,31+,377,30,12,0.0796,0.0318
QB,Unknown,59,0,0,0.0,0.0
RB,<=24,1401,79,71,0.0564,0.0507
RB,25-27,1033,69,63,0.0668,0.061
RB,28-30,455,38,16,0.0835,0.0352
RB,31+,157,27,9,0.172,0.0573
RB,Unknown,198,0,0,0.0,0.0
